default,0,1.3889,2.7778,4.1667,5.5556,6.9444,8.3333,9.7222,11.1111,12.5,13.8889,15.2778,16.6667,18.0556,19.4444,20.8333,22.2222,23.6111,25,26.3889,27.7778,29.1667
0,0.710,0.709,0.019,0.018,0.017,0.016,0.015,0.014,0.013,0.012,0.011,0.010,0.009,0.008,0.007,0.006,0.005,0.004,0.003,0.002,0.001,0.000
0.100,1.273,1.264,1.225,0.423,0.422,0.421,0.420,0.419,0.418,0.325,0.304,0.278,0.186,0.185,0.163,0.110,0.109,0.057,0.056,0.003,0.002,0.001
0.200,3.917,3.916,2.799,2.301,1.931,1.399,1.187,0.961,0.903,0.699,0.584,0.581,0.562,0.561,0.548,0.344,0.110,0.079,0.057,0.004,0.003,0.002
0.300,3.918,3.917,3.049,2.417,2.220,1.469,1.222,1.000,0.904,0.872,0.764,0.763,0.730,0.729,0.728,0.699,0.698,0.696,0.451,0.414,0.413,0.412
0.400,3.919,3.918,3.207,2.714,2.713,2.712,2.709,2.688,2.652,2.539,2.495,2.244,2.231,1.869,1.715,1.685,1.551,1.298,1.280,1.249,0.944,0.943
0.500,4.900,4.899,4.897,4.890,4.889,4.862,4.815,4.774,4.234,4.143,3.371,3.217,3.145,2.630,2.576,2.518,1.943,1.942,1.864,1.746,1.401,1.340
0.600,5.230,5.229,5.228,5.227,5.226,5.225,5.141,5.108,5.012,4.535,4.070,3.796,3.427,3.105,3.094,2.672,2.447,2.446,2.445,2.438,1.832,1.716
0.700,6.284,6.283,6.282,6.281,6.280,6.279,6.269,6.245,6.128,5.675,5.584,5.242,4.578,4.397,4.291,3.634,3.633,3.606,3.239,2.526,2.461,2.345
0.800,6.285,6.284,6.283,6.282,6.281,6.280,6.279,6.278,6.277,5.788,5.744,5.417,4.796,4.449,4.434,3.760,3.634,3.633,3.361,2.681,2.680,2.399
0.900,6.286,6.285,6.284,6.283,6.282,6.281,6.280,6.279,6.278,5.789,5.745,5.418,4.797,4.450,4.435,3.761,3.635,3.634,3.362,2.682,2.681,2.400
1.000,6.515,6.514,6.513,6.512,6.511,6.510,6.509,6.508,6.504,6.326,6.137,6.133,5.861,5.140,4.838,4.837,4.640,4.447,4.099,3.619,3.615,3.182
